"var","prob","Region","Season"
"b.upP",0.655,"west","spr"
"b.up1",0.809166666666667,"west","spr"
"b.AOIP",-0.517,"west","spr"
"b.AOI1",-0.525055555555556,"west","spr"
"b.vwndP",0.576277777777778,"west","spr"
"b.vwnd1",-0.604888888888889,"west","spr"
"b.npgoP",0.919555555555556,"west","spr"
"b.npgo1",0.999222222222222,"west","spr"
"b.upP",0.560333333333333,"west","sum"
"b.up1",0.895944444444444,"west","sum"
"b.AOIP",-0.876833333333333,"west","sum"
"b.AOI1",-0.877666666666667,"west","sum"
"b.vwndP",0.749722222222222,"west","sum"
"b.vwnd1",0.701611111111111,"west","sum"
"b.npgoP",0.986388888888889,"west","sum"
"b.npgo1",0.902555555555556,"west","sum"
"b.upP",0.714388888888889,"west","fall"
"b.up1",-0.548555555555556,"west","fall"
"b.AOIP",0.633555555555556,"west","fall"
"b.AOI1",0.922722222222222,"west","fall"
"b.vwndP",-0.595777777777778,"west","fall"
"b.vwnd1",-0.688444444444444,"west","fall"
"b.npgoP",0.763111111111111,"west","fall"
"b.npgo1",0.993277777777778,"west","fall"
"b.upP",0.742722222222222,"west","win"
"b.up1",0.884055555555556,"west","win"
"b.AOIP",0.759111111111111,"west","win"
"b.AOI1",0.701222222222222,"west","win"
"b.vwndP",-0.596388888888889,"west","win"
"b.vwnd1",-0.632277777777778,"west","win"
"b.npgoP",0.794166666666667,"west","win"
"b.npgo1",0.9765,"west","win"
"b.mass1",-0.560444444444444,"west","win"
"b.mass1M",-0.779055555555556,"west","win"
"b.massP",-0.772722222222222,"west","win"
"b.massPM",-0.945833333333333,"west","win"
"b.mass.psi",-0.634333333333333,"west","win"
"b.chlaP",0.684,"east","spr"
"b.chla1",0.6712,"east","spr"
"b.chla.psi",-0.745,"east","spr"
"b.chla.psiB",0.715866666666667,"east","spr"
"b.albsaP",0.9854,"east","spr"
"b.albsa1",0.701533333333333,"east","spr"
"b.albsa.psi",0.552533333333333,"east","spr"
"b.albsa.psiB",0.624733333333333,"east","spr"
"b.upP",-0.963133333333333,"east","spr"
"b.up1",0.551133333333333,"east","spr"
"b.up.psi",-0.5804,"east","spr"
"b.up.psiB",-0.6514,"east","spr"
"b.AOIP",0.620066666666667,"east","spr"
"b.AOI1",-0.545466666666667,"east","spr"
"b.AOI.psi",0.733133333333333,"east","spr"
"b.AOI.psiB",0.5108,"east","spr"
"b.vwndP",-0.6058,"east","spr"
"b.vwnd1",-0.519533333333333,"east","spr"
"b.vwnd.psi",-0.547333333333333,"east","spr"
"b.vwnd.psiB",0.5542,"east","spr"
"b.npgoP",0.848133333333333,"east","spr"
"b.npgo1",0.755266666666667,"east","spr"
"b.npgo.psi",0.617133333333333,"east","spr"
"b.npgo.psiB",0.763866666666667,"east","spr"
"b.chlaP",0.8112,"east","sum"
"b.chla1",-0.507333333333333,"east","sum"
"b.chla.psi",0.5448,"east","sum"
"b.chla.psiB",0.638466666666667,"east","sum"
"b.albsaP",0.643933333333333,"east","sum"
"b.albsa1",-0.507266666666667,"east","sum"
"b.albsa.psi",-0.568133333333333,"east","sum"
"b.albsa.psiB",-0.628866666666667,"east","sum"
"b.upP",0.615133333333333,"east","sum"
"b.up1",0.5706,"east","sum"
"b.up.psi",0.840266666666667,"east","sum"
"b.up.psiB",0.795,"east","sum"
"b.AOIP",0.868333333333333,"east","sum"
"b.AOI1",0.788,"east","sum"
"b.AOI.psi",-0.679666666666667,"east","sum"
"b.AOI.psiB",0.5202,"east","sum"
"b.vwndP",0.571266666666667,"east","sum"
"b.vwnd1",0.9674,"east","sum"
"b.vwnd.psi",-0.992666666666667,"east","sum"
"b.vwnd.psiB",0.689666666666667,"east","sum"
"b.npgoP",0.8142,"east","sum"
"b.npgo1",0.618733333333333,"east","sum"
"b.npgo.psi",0.9664,"east","sum"
"b.npgo.psiB",0.712,"east","sum"
"b.chlaP",-0.740133333333333,"east","fall"
"b.chla1",0.813466666666667,"east","fall"
"b.chla.psi",-0.536066666666667,"east","fall"
"b.chla.psiB",0.9326,"east","fall"
"b.albsaP",0.568066666666667,"east","fall"
"b.albsa1",-0.598466666666667,"east","fall"
"b.albsa.psi",0.606333333333333,"east","fall"
"b.albsa.psiB",-0.8366,"east","fall"
"b.upP",-0.905066666666667,"east","fall"
"b.up1",-0.698466666666667,"east","fall"
"b.up.psi",0.6076,"east","fall"
"b.up.psiB",-0.723666666666667,"east","fall"
"b.AOIP",0.6016,"east","fall"
"b.AOI1",-0.774266666666667,"east","fall"
"b.AOI.psi",0.675466666666667,"east","fall"
"b.AOI.psiB",-0.541933333333333,"east","fall"
"b.vwndP",0.6336,"east","fall"
"b.vwnd1",0.558733333333333,"east","fall"
"b.vwnd.psi",0.592466666666667,"east","fall"
"b.vwnd.psiB",-0.513866666666667,"east","fall"
"b.npgoP",0.9052,"east","fall"
"b.npgo1",-0.5414,"east","fall"
"b.npgo.psi",0.8054,"east","fall"
"b.npgo.psiB",0.6742,"east","fall"
"b.chlaP",0.987933333333333,"east","win"
"b.chla1",0.587066666666667,"east","win"
"b.chla.psi",-0.762466666666667,"east","win"
"b.chla.psiB",-0.722466666666667,"east","win"
"b.albsaP",-0.536666666666667,"east","win"
"b.albsa1",0.9008,"east","win"
"b.albsa.psi",-0.735666666666667,"east","win"
"b.albsa.psiB",0.7348,"east","win"
"b.upP",-0.987266666666667,"east","win"
"b.up1",-0.683,"east","win"
"b.up.psi",0.684533333333333,"east","win"
"b.up.psiB",-0.904133333333333,"east","win"
"b.AOIP",0.994133333333333,"east","win"
"b.AOI1",0.538866666666667,"east","win"
"b.AOI.psi",0.661733333333333,"east","win"
"b.AOI.psiB",0.7208,"east","win"
"b.vwndP",0.994466666666667,"east","win"
"b.vwnd1",-0.6404,"east","win"
"b.vwnd.psi",0.5586,"east","win"
"b.vwnd.psiB",0.5178,"east","win"
"b.npgoP",0.9892,"east","win"
"b.npgo1",0.763666666666667,"east","win"
"b.npgo.psi",0.572866666666667,"east","win"
"b.npgo.psiB",0.787066666666667,"east","win"
"b.mass1",0.821933333333333,"east","win"
"b.mass1M",-0.738733333333333,"east","win"
"b.massP",0.976333333333333,"east","win"
"b.massPM",0.9996,"east","win"
"b.mass.psi",-0.526066666666667,"east","win"
"b.mass.psiB",-0.732066666666667,"east","win"
